,name,#oe,#ue,#grainy,#blurry,#people_not_ratings
57,voc_emotic_ava/AVA__94355.jpg,8,9,3,1,7
58,voc_emotic_ava/EMOTIC__COCO_train2014_000000030289.jpg,12,11,2,0,5
59,voc_emotic_ava/EMOTIC__COCO_train2014_000000052440.jpg,10,9,2,1,5
60,voc_emotic_ava/EMOTIC__COCO_train2014_000000064827.jpg,10,11,0,1,5
61,voc_emotic_ava/EMOTIC__COCO_train2014_000000082666.jpg,11,8,3,1,4
62,voc_emotic_ava/EMOTIC__COCO_train2014_000000100777.jpg,4,10,3,5,3
63,voc_emotic_ava/EMOTIC__COCO_train2014_000000111943.jpg,9,12,3,0,4
64,voc_emotic_ava/EMOTIC__COCO_train2014_000000113026.jpg,11,9,4,0,4
65,voc_emotic_ava/EMOTIC__COCO_train2014_000000124934.jpg,7,11,4,2,4
66,voc_emotic_ava/EMOTIC__COCO_train2014_000000154965.jpg,9,12,0,1,5
67,voc_emotic_ava/EMOTIC__COCO_train2014_000000164200.jpg,9,11,3,0,4
68,voc_emotic_ava/EMOTIC__COCO_train2014_000000206058.jpg,10,11,3,0,3
69,voc_emotic_ava/EMOTIC__COCO_train2014_000000207595.jpg,8,12,3,0,5
70,voc_emotic_ava/EMOTIC__COCO_train2014_000000248637.jpg,12,11,1,1,3
71,voc_emotic_ava/EMOTIC__COCO_train2014_000000256884.jpg,8,12,3,1,4
72,voc_emotic_ava/EMOTIC__COCO_train2014_000000270809.jpg,13,9,2,1,4
73,voc_emotic_ava/EMOTIC__COCO_train2014_000000271011.jpg,10,11,1,0,6
74,voc_emotic_ava/EMOTIC__COCO_train2014_000000276806.jpg,9,13,2,1,4
75,voc_emotic_ava/EMOTIC__COCO_train2014_000000287962.jpg,8,12,2,1,4
76,voc_emotic_ava/EMOTIC__COCO_train2014_000000289833.jpg,6,7,7,6,3
77,voc_emotic_ava/EMOTIC__COCO_train2014_000000296153.jpg,22,11,2,3,7
78,voc_emotic_ava/EMOTIC__COCO_train2014_000000394415.jpg,9,11,3,0,4
79,voc_emotic_ava/EMOTIC__COCO_train2014_000000402699.jpg,7,12,3,1,4
80,voc_emotic_ava/EMOTIC__COCO_train2014_000000420823.jpg,7,11,2,1,6
81,voc_emotic_ava/EMOTIC__COCO_train2014_000000480990.jpg,9,12,1,0,5
82,voc_emotic_ava/EMOTIC__COCO_train2014_000000499376.jpg,8,13,1,1,5
83,voc_emotic_ava/EMOTIC__COCO_train2014_000000513532.jpg,11,11,2,0,4
84,voc_emotic_ava/EMOTIC__COCO_train2014_000000515638.jpg,8,13,0,2,4
85,voc_emotic_ava/EMOTIC__COCO_train2014_000000532775.jpg,9,11,3,0,5
86,voc_emotic_ava/EMOTIC__COCO_train2014_000000535212.jpg,9,10,3,1,4
87,voc_emotic_ava/EMOTIC__COCO_train2014_000000557746.jpg,11,10,1,1,4
88,voc_emotic_ava/EMOTIC__COCO_val2014_000000080010.jpg,9,12,2,0,4
89,voc_emotic_ava/EMOTIC__COCO_val2014_000000091839.jpg,8,8,7,1,4
90,voc_emotic_ava/EMOTIC__COCO_val2014_000000138180.jpg,10,8,4,2,4
91,voc_emotic_ava/EMOTIC__COCO_val2014_000000234251.jpg,10,10,2,1,4
92,voc_emotic_ava/EMOTIC__COCO_val2014_000000256983.jpg,10,12,1,1,4
93,voc_emotic_ava/EMOTIC__COCO_val2014_000000493641.jpg,9,11,1,0,6
94,voc_emotic_ava/EMOTIC__COCO_val2014_000000509223.jpg,8,12,4,0,4
95,voc_emotic_ava/EMOTIC__COCO_val2014_000000510585.jpg,11,9,2,2,4
96,voc_emotic_ava/EMOTIC__a0c8930r565mx3yjbw.jpg,7,9,4,2,5
97,voc_emotic_ava/EMOTIC__dczvc71zjwa8m2cv6z.jpg,10,8,3,2,4
98,voc_emotic_ava/EMOTIC__dx5vhcsqs3symylim6.jpg,11,9,1,2,5
99,voc_emotic_ava/JPEGImages__2007_000713.jpg,7,11,3,1,5
100,voc_emotic_ava/JPEGImages__2008_000694.jpg,9,8,4,2,5
101,voc_emotic_ava/JPEGImages__2008_001575.jpg,10,10,2,0,5
102,voc_emotic_ava/JPEGImages__2008_001888.jpg,12,9,4,2,5
103,voc_emotic_ava/JPEGImages__2008_002148.jpg,9,10,2,2,4
104,voc_emotic_ava/JPEGImages__2008_002684.jpg,9,13,1,0,5
105,voc_emotic_ava/JPEGImages__2008_002752.jpg,8,11,4,1,3
106,voc_emotic_ava/JPEGImages__2008_003814.jpg,9,6,6,2,6
107,voc_emotic_ava/JPEGImages__2008_004201.jpg,13,5,4,2,5
108,voc_emotic_ava/JPEGImages__2008_005362.jpg,7,10,6,0,4
109,voc_emotic_ava/JPEGImages__2008_005980.jpg,11,12,1,1,5
110,voc_emotic_ava/JPEGImages__2008_007133.jpg,9,13,3,0,3
111,voc_emotic_ava/JPEGImages__2009_000782.jpg,10,12,1,0,5
112,voc_emotic_ava/JPEGImages__2009_001398.jpg,8,10,3,2,3
113,voc_emotic_ava/JPEGImages__2009_001558.jpg,9,10,3,1,4
114,voc_emotic_ava/JPEGImages__2009_002216.jpg,5,8,8,2,3
115,voc_emotic_ava/JPEGImages__2009_003347.jpg,9,14,3,1,2
116,voc_emotic_ava/JPEGImages__2009_004815.jpg,8,13,1,0,5
117,voc_emotic_ava/JPEGImages__2009_005086.jpg,10,11,2,0,5
118,voc_emotic_ava/JPEGImages__2010_000582.jpg,8,8,6,0,5
119,voc_emotic_ava/JPEGImages__2010_001806.jpg,7,12,2,2,5
120,voc_emotic_ava/JPEGImages__2010_001899.jpg,9,12,4,1,3
121,voc_emotic_ava/JPEGImages__2010_002763.jpg,6,9,6,2,4
122,voc_emotic_ava/JPEGImages__2010_003467.jpg,10,9,2,1,5
123,voc_emotic_ava/JPEGImages__2010_003820.jpg,10,4,5,5,3
124,voc_emotic_ava/JPEGImages__2010_004059.jpg,9,9,2,2,5
125,voc_emotic_ava/JPEGImages__2010_004162.jpg,10,10,2,0,4
126,voc_emotic_ava/JPEGImages__2010_004950.jpg,9,11,1,1,6
127,voc_emotic_ava/JPEGImages__2010_004973.jpg,10,10,5,0,4
128,voc_emotic_ava/JPEGImages__2010_005083.jpg,12,8,0,3,5
129,voc_emotic_ava/JPEGImages__2010_005379.jpg,11,8,6,1,3
130,voc_emotic_ava/JPEGImages__2010_005596.jpg,8,12,2,0,5
131,voc_emotic_ava/JPEGImages__2011_000485.jpg,8,10,3,2,4
132,voc_emotic_ava/JPEGImages__2011_001751.jpg,8,12,3,2,43
133,voc_emotic_ava/JPEGImages__2011_002581.jpg,12,9,1,1,4
134,voc_emotic_ava/JPEGImages__2011_003237.jpg,10,12,4,0,4
135,voc_emotic_ava/JPEGImages__2011_003562.jpg,10,11,2,1,4
136,voc_emotic_ava/JPEGImages__2011_003977.jpg,14,5,5,0,4
137,voc_emotic_ava/JPEGImages__2011_004418.jpg,10,12,2,0,5
138,voc_emotic_ava/JPEGImages__2011_004834.jpg,10,7,6,0,5
139,voc_emotic_ava/JPEGImages__2011_005639.jpg,9,12,3,1,3
140,voc_emotic_ava/JPEGImages__2011_005706.jpg,9,12,2,0,5
141,voc_emotic_ava/JPEGImages__2011_006419.jpg,13,7,3,1,4
142,voc_emotic_ava/JPEGImages__2011_006538.jpg,8,11,3,1,4
143,voc_emotic_ava/JPEGImages__2011_006707.jpg,11,7,2,1,6
144,voc_emotic_ava/JPEGImages__2012_002268.jpg,10,10,2,1,4
145,voc_emotic_ava/JPEGImages__2012_002777.jpg,8,11,2,1,5
146,voc_emotic_ava/JPEGImages__2012_002976.jpg,11,8,3,1,4
147,voc_emotic_ava/JPEGImages__2012_003926.jpg,9,13,2,0,5
148,voc_emotic_ava/VOC2012__2008_000606.jpg,10,10,4,0,5
149,voc_emotic_ava/VOC2012__2008_000889.jpg,10,11,0,2,5
150,voc_emotic_ava/VOC2012__2008_001197.jpg,6,13,3,0,5
151,voc_emotic_ava/VOC2012__2008_001201.jpg,8,10,4,1,6
152,voc_emotic_ava/VOC2012__2008_001208.jpg,8,12,1,1,5
153,voc_emotic_ava/VOC2012__2008_001734.jpg,8,12,6,0,3
154,voc_emotic_ava/VOC2012__2008_001938.jpg,10,11,2,1,5
155,voc_emotic_ava/VOC2012__2008_002539.jpg,10,10,4,3,3
156,voc_emotic_ava/VOC2012__2008_003317.jpg,7,13,3,0,48
157,voc_emotic_ava/VOC2012__2008_003528.jpg,10,10,2,0,5
158,voc_emotic_ava/VOC2012__2008_004199.jpg,8,9,6,2,5
159,voc_emotic_ava/VOC2012__2008_007644.jpg,6,15,2,0,5
160,voc_emotic_ava/VOC2012__2008_008059.jpg,7,13,2,2,5
161,voc_emotic_ava/VOC2012__2009_000245.jpg,9,10,3,1,4
162,voc_emotic_ava/VOC2012__2009_001601.jpg,10,9,5,0,4
163,voc_emotic_ava/VOC2012__2009_002421.jpg,8,8,6,1,4
164,voc_emotic_ava/VOC2012__2009_002708.jpg,8,11,4,1,4
165,voc_emotic_ava/VOC2012__2009_003276.jpg,11,10,2,1,4
166,voc_emotic_ava/VOC2012__2009_004574.jpg,9,9,7,2,3
167,voc_emotic_ava/VOC2012__2009_004677.jpg,6,14,3,1,4
168,voc_emotic_ava/VOC2012__2009_004928.jpg,8,13,0,1,5
169,voc_emotic_ava/VOC2012__2009_005111.jpg,9,12,1,1,5
170,voc_emotic_ava/VOC2012__2010_000005.jpg,10,9,3,1,6
171,voc_emotic_ava/VOC2012__2010_000318.jpg,10,8,5,2,3
172,voc_emotic_ava/VOC2012__2010_004602.jpg,4,9,6,4,4
173,voc_emotic_ava/VOC2012__2010_004760.jpg,10,6,5,2,5
174,voc_emotic_ava/VOC2012__2010_004938.jpg,10,10,2,0,5
175,voc_emotic_ava/VOC2012__2010_006002.jpg,11,10,2,0,6
176,voc_emotic_ava/VOC2012__2010_006123.jpg,11,12,1,1,4
177,voc_emotic_ava/VOC2012__2011_000829.jpg,10,10,3,0,4
178,voc_emotic_ava/VOC2012__2011_001115.jpg,8,13,2,0,4
179,voc_emotic_ava/VOC2012__2011_002289.jpg,8,12,3,0,5
180,voc_emotic_ava/VOC2012__2011_004589.jpg,11,8,4,1,5
181,voc_emotic_ava/VOC2012__2011_004669.jpg,5,10,5,2,5
182,voc_emotic_ava/VOC2012__2011_004783.jpg,10,14,3,1,4
183,voc_emotic_ava/VOC2012__2011_004885.jpg,9,8,5,1,4
184,voc_emotic_ava/VOC2012__2012_000052.jpg,6,6,8,3,4
185,voc_emotic_ava/VOC2012__2012_000722.jpg,6,11,2,2,4
186,voc_emotic_ava/VOC2012__2012_001093.jpg,22,13,5,0,10
187,voc_emotic_ava/VOC2012__2012_001385.jpg,8,12,3,2,4
188,voc_emotic_ava/VOC2012__2012_001470.jpg,8,11,1,2,5
189,voc_emotic_ava/VOC2012__2012_001781.jpg,4,15,3,3,4
190,voc_emotic_ava/VOC2012__2012_002101.jpg,10,10,2,0,6
191,voc_emotic_ava/VOC2012__2012_002558.jpg,7,13,2,1,5
192,voc_emotic_ava/VOC2012__2012_003486.jpg,7,14,2,0,5
193,blur_dataset/out_of_focus0051.jpg,11,5,2,2,6
194,blur_dataset/out_of_focus0132.jpg,9,5,2,5,5
195,blur_dataset/out_of_focus0486.jpg,5,13,3,0,5
196,blur_dataset/out_of_focus0604.jpg,9,8,0,2,7
197,blur_dataset/out_of_focus0624.jpg,8,7,6,1,7
198,voc_emotic_ava/AVA__111878.jpg,9,6,1,4,7
199,voc_emotic_ava/AVA__121245.jpg,7,10,3,1,5
200,voc_emotic_ava/AVA__155687.jpg,9,8,1,1,7
201,voc_emotic_ava/AVA__160502.jpg,4,12,0,5,5
202,voc_emotic_ava/AVA__224851.jpg,11,8,2,0,6
203,voc_emotic_ava/AVA__239174.jpg,3,14,3,2,5
204,voc_emotic_ava/AVA__242860.jpg,9,8,2,1,6
205,voc_emotic_ava/AVA__251568.jpg,12,6,0,2,6
206,voc_emotic_ava/AVA__260590.jpg,10,6,2,1,8
207,voc_emotic_ava/AVA__270624.jpg,11,6,1,1,8
208,voc_emotic_ava/AVA__302660.jpg,8,10,2,2,6
209,voc_emotic_ava/AVA__338.jpg,8,8,1,5,5
210,voc_emotic_ava/AVA__354331.jpg,9,8,3,0,6
211,voc_emotic_ava/AVA__390865.jpg,6,9,4,1,6
212,voc_emotic_ava/AVA__398161.jpg,11,7,3,0,6
213,voc_emotic_ava/AVA__41379.jpg,4,13,3,1,5
214,voc_emotic_ava/AVA__439630.jpg,12,5,2,1,8
215,voc_emotic_ava/AVA__4421.jpg,12,7,1,0,6
216,voc_emotic_ava/AVA__466116.jpg,8,7,3,2,6
217,voc_emotic_ava/AVA__473631.jpg,10,6,3,1,6
218,voc_emotic_ava/AVA__4883.jpg,12,8,1,1,5
219,voc_emotic_ava/AVA__516703.jpg,9,9,1,1,6
220,voc_emotic_ava/AVA__519902.jpg,6,9,4,1,7
221,voc_emotic_ava/AVA__525156.jpg,8,8,1,1,7
222,voc_emotic_ava/AVA__551295.jpg,8,4,3,7,5
223,voc_emotic_ava/AVA__593739.jpg,9,7,2,3,6
224,voc_emotic_ava/AVA__603107.jpg,7,9,3,0,8
225,voc_emotic_ava/AVA__6305.jpg,5,10,4,2,5
226,voc_emotic_ava/AVA__679827.jpg,10,7,3,2,6
227,voc_emotic_ava/AVA__719981.jpg,10,6,2,1,7
228,voc_emotic_ava/AVA__72733.jpg,8,7,5,1,7
229,voc_emotic_ava/AVA__734475.jpg,9,6,4,1,8
230,voc_emotic_ava/AVA__736179.jpg,7,11,2,0,6
231,voc_emotic_ava/AVA__739976.jpg,9,8,3,1,6
232,voc_emotic_ava/AVA__761831.jpg,9,8,3,0,6
233,voc_emotic_ava/AVA__814551.jpg,10,9,3,0,5
234,voc_emotic_ava/AVA__81766.jpg,8,7,2,3,6
235,voc_emotic_ava/AVA__82288.jpg,11,5,2,1,7
236,voc_emotic_ava/AVA__884865.jpg,10,5,2,4,5
237,voc_emotic_ava/AVA__886448.jpg,10,8,1,0,8
238,voc_emotic_ava/AVA__889694.jpg,11,6,1,1,7
239,voc_emotic_ava/AVA__9021.jpg,11,7,3,0,6
240,voc_emotic_ava/AVA__95210.jpg,8,6,6,2,6
241,voc_emotic_ava/EMOTIC__0qrggiyfqfxsynwvjm.jpg,12,6,1,1,7
242,voc_emotic_ava/EMOTIC__COCO_train2014_000000024411.jpg,9,8,2,1,7
243,voc_emotic_ava/EMOTIC__COCO_train2014_000000055478.jpg,8,5,4,2,7
244,voc_emotic_ava/EMOTIC__COCO_train2014_000000058239.jpg,9,7,3,1,7
245,voc_emotic_ava/EMOTIC__COCO_train2014_000000068139.jpg,7,10,4,0,6
246,voc_emotic_ava/EMOTIC__COCO_train2014_000000078322.jpg,7,10,1,1,7
247,voc_emotic_ava/EMOTIC__COCO_train2014_000000080609.jpg,6,10,2,1,6
248,voc_emotic_ava/EMOTIC__COCO_train2014_000000082039.jpg,8,9,1,0,8
249,voc_emotic_ava/EMOTIC__COCO_train2014_000000085252.jpg,7,7,5,0,7
250,voc_emotic_ava/EMOTIC__COCO_train2014_000000098924.jpg,8,8,2,1,7
251,voc_emotic_ava/EMOTIC__COCO_train2014_000000122105.jpg,12,7,0,0,7
252,voc_emotic_ava/EMOTIC__COCO_train2014_000000123172.jpg,10,6,2,2,6
253,voc_emotic_ava/EMOTIC__COCO_train2014_000000139429.jpg,12,10,1,1,6
254,voc_emotic_ava/EMOTIC__COCO_train2014_000000147960.jpg,11,5,3,1,7
255,voc_emotic_ava/EMOTIC__COCO_train2014_000000176285.jpg,10,6,3,0,7
256,voc_emotic_ava/EMOTIC__COCO_train2014_000000184138.jpg,9,6,4,1,6
257,voc_emotic_ava/EMOTIC__COCO_train2014_000000253087.jpg,11,7,1,1,7
258,voc_emotic_ava/EMOTIC__COCO_train2014_000000255849.jpg,11,8,1,1,6
259,voc_emotic_ava/EMOTIC__COCO_train2014_000000306128.jpg,7,13,0,2,6
260,voc_emotic_ava/EMOTIC__COCO_train2014_000000318333.jpg,12,6,2,0,9
261,voc_emotic_ava/EMOTIC__COCO_train2014_000000334645.jpg,8,8,0,2,7
262,voc_emotic_ava/EMOTIC__COCO_train2014_000000344507.jpg,7,12,1,1,5
263,voc_emotic_ava/EMOTIC__COCO_train2014_000000354342.jpg,7,6,3,3,7
264,voc_emotic_ava/EMOTIC__COCO_train2014_000000381475.jpg,9,7,2,1,7
265,voc_emotic_ava/EMOTIC__COCO_train2014_000000390969.jpg,10,6,4,0,7
266,voc_emotic_ava/EMOTIC__COCO_train2014_000000399465.jpg,9,7,4,1,7
267,voc_emotic_ava/EMOTIC__COCO_train2014_000000407047.jpg,9,6,3,1,7
268,voc_emotic_ava/EMOTIC__COCO_train2014_000000414588.jpg,8,7,5,0,6
269,voc_emotic_ava/EMOTIC__COCO_train2014_000000495149.jpg,10,6,3,0,8
270,voc_emotic_ava/EMOTIC__COCO_train2014_000000497296.jpg,12,14,5,3,6
271,voc_emotic_ava/EMOTIC__COCO_train2014_000000515701.jpg,9,7,3,0,7
272,voc_emotic_ava/EMOTIC__COCO_train2014_000000520769.jpg,9,9,1,1,7
273,voc_emotic_ava/EMOTIC__COCO_train2014_000000531964.jpg,9,5,4,1,7
274,voc_emotic_ava/EMOTIC__COCO_train2014_000000549017.jpg,9,5,4,1,7
275,voc_emotic_ava/EMOTIC__COCO_train2014_000000553758.jpg,10,6,2,2,6
276,voc_emotic_ava/EMOTIC__COCO_train2014_000000560615.jpg,7,10,3,0,7
277,voc_emotic_ava/EMOTIC__COCO_val2014_000000056874.jpg,6,10,3,2,5
278,voc_emotic_ava/EMOTIC__COCO_val2014_000000101172.jpg,11,9,0,1,6
279,voc_emotic_ava/EMOTIC__COCO_val2014_000000168580.jpg,8,7,3,5,5
280,voc_emotic_ava/EMOTIC__COCO_val2014_000000188044.jpg,8,10,2,0,6
281,voc_emotic_ava/EMOTIC__COCO_val2014_000000237075.jpg,10,6,3,1,7
282,voc_emotic_ava/EMOTIC__COCO_val2014_000000240495.jpg,11,6,2,0,8
283,voc_emotic_ava/EMOTIC__COCO_val2014_000000469158.jpg,6,11,1,2,6
284,voc_emotic_ava/EMOTIC__COCO_val2014_000000505814.jpg,10,6,3,0,7
285,voc_emotic_ava/EMOTIC__COCO_val2014_000000532503.jpg,8,8,3,1,6
286,voc_emotic_ava/EMOTIC__COCO_val2014_000000571038.jpg,7,9,1,2,8
287,voc_emotic_ava/EMOTIC__sun_bgueciiegzpmgzss.jpg,11,5,2,1,7
288,voc_emotic_ava/JPEGImages__2007_003051.jpg,11,4,3,3,6
289,voc_emotic_ava/JPEGImages__2008_000007.jpg,7,10,2,2,5
290,voc_emotic_ava/JPEGImages__2008_000365.jpg,9,7,4,0,6
291,voc_emotic_ava/JPEGImages__2008_000432.jpg,9,6,3,1,7
292,voc_emotic_ava/JPEGImages__2008_001965.jpg,7,9,1,3,7
293,voc_emotic_ava/JPEGImages__2008_003945.jpg,9,5,4,0,7
294,voc_emotic_ava/JPEGImages__2008_005166.jpg,8,5,5,2,7
295,voc_emotic_ava/JPEGImages__2008_005297.jpg,7,5,3,3,8
296,voc_emotic_ava/JPEGImages__2008_005361.jpg,8,8,4,2,5
297,voc_emotic_ava/JPEGImages__2008_006409.jpg,7,8,3,1,7
298,voc_emotic_ava/JPEGImages__2009_000097.jpg,11,5,1,2,7
299,voc_emotic_ava/JPEGImages__2009_001407.jpg,10,5,6,1,6
300,voc_emotic_ava/JPEGImages__2009_001470.jpg,9,5,6,0,7
301,voc_emotic_ava/JPEGImages__2009_001474.jpg,9,5,3,2,7
302,voc_emotic_ava/JPEGImages__2009_001567.jpg,3,11,4,3,5
303,voc_emotic_ava/JPEGImages__2009_001775.jpg,11,6,3,1,6
304,voc_emotic_ava/JPEGImages__2009_002205.jpg,7,9,3,0,7
305,voc_emotic_ava/JPEGImages__2009_002306.jpg,10,8,2,0,6
306,voc_emotic_ava/JPEGImages__2009_002779.jpg,10,7,2,1,6
307,voc_emotic_ava/JPEGImages__2009_002935.jpg,16,14,3,1,8
308,voc_emotic_ava/JPEGImages__2009_003396.jpg,11,7,2,0,8
309,voc_emotic_ava/JPEGImages__2009_004926.jpg,10,6,2,4,5
310,voc_emotic_ava/JPEGImages__2010_000513.jpg,6,11,3,1,7
311,voc_emotic_ava/JPEGImages__2010_000996.jpg,10,3,3,4,7
312,voc_emotic_ava/JPEGImages__2010_001044.jpg,7,9,3,1,6
313,voc_emotic_ava/JPEGImages__2010_001237.jpg,14,4,0,0,8
314,voc_emotic_ava/JPEGImages__2010_003102.jpg,10,5,3,3,6
315,voc_emotic_ava/JPEGImages__2010_003453.jpg,8,5,5,0,8
316,voc_emotic_ava/JPEGImages__2010_004271.jpg,11,5,2,1,8
317,voc_emotic_ava/JPEGImages__2010_005991.jpg,10,6,1,1,7
318,voc_emotic_ava/JPEGImages__2010_006211.jpg,8,5,3,3,7
319,voc_emotic_ava/JPEGImages__2011_001139.jpg,11,5,3,1,6
320,voc_emotic_ava/JPEGImages__2011_001624.jpg,11,8,1,1,6
321,voc_emotic_ava/JPEGImages__2011_001775.jpg,7,6,3,4,6
322,voc_emotic_ava/JPEGImages__2011_002462.jpg,10,7,1,1,7
323,voc_emotic_ava/JPEGImages__2011_002649.jpg,9,7,2,1,7
324,voc_emotic_ava/JPEGImages__2011_003103.jpg,8,8,3,2,8
325,voc_emotic_ava/JPEGImages__2011_003748.jpg,8,7,5,1,6
326,voc_emotic_ava/JPEGImages__2011_004476.jpg,7,9,2,1,7
327,voc_emotic_ava/JPEGImages__2011_004528.jpg,12,6,2,1,6
328,voc_emotic_ava/JPEGImages__2011_004602.jpg,9,6,4,1,6
329,voc_emotic_ava/JPEGImages__2011_004830.jpg,10,6,2,2,6
330,voc_emotic_ava/JPEGImages__2011_005222.jpg,10,7,2,1,6
331,voc_emotic_ava/JPEGImages__2012_001501.jpg,10,3,3,1,8
332,voc_emotic_ava/JPEGImages__2012_002051.jpg,5,2,1,13,5
333,voc_emotic_ava/JPEGImages__2012_002540.jpg,6,9,2,2,7
334,voc_emotic_ava/JPEGImages__2012_003703.jpg,8,7,2,3,7
335,voc_emotic_ava/JPEGImages__2012_003958.jpg,8,7,3,2,6
336,voc_emotic_ava/VOC2012__2008_000221.jpg,10,6,2,1,7
337,voc_emotic_ava/VOC2012__2008_001206.jpg,10,6,3,1,6
338,voc_emotic_ava/VOC2012__2008_001797.jpg,11,5,2,2,6
339,voc_emotic_ava/VOC2012__2008_002330.jpg,12,6,1,1,7
340,voc_emotic_ava/VOC2012__2008_002585.jpg,10,8,2,1,7
341,voc_emotic_ava/VOC2012__2008_004183.jpg,5,7,6,1,8
342,voc_emotic_ava/VOC2012__2008_004326.jpg,7,10,2,2,5
343,voc_emotic_ava/VOC2012__2008_005643.jpg,9,10,1,1,6
344,voc_emotic_ava/VOC2012__2008_005704.jpg,9,7,2,1,7
345,voc_emotic_ava/VOC2012__2008_006437.jpg,7,8,3,1,8
346,voc_emotic_ava/VOC2012__2008_006688.jpg,10,5,4,0,7
347,voc_emotic_ava/VOC2012__2008_007607.jpg,12,8,1,2,5
348,voc_emotic_ava/VOC2012__2009_000479.jpg,10,6,3,1,7
349,voc_emotic_ava/VOC2012__2009_000662.jpg,10,7,2,1,7
350,voc_emotic_ava/VOC2012__2009_000800.jpg,11,7,2,2,5
351,voc_emotic_ava/VOC2012__2009_001580.jpg,8,7,5,0,6
352,voc_emotic_ava/VOC2012__2009_003199.jpg,10,6,2,1,6
353,voc_emotic_ava/VOC2012__2009_003862.jpg,8,5,5,1,7
354,voc_emotic_ava/VOC2012__2009_004025.jpg,10,8,1,0,7
355,voc_emotic_ava/VOC2012__2009_005229.jpg,10,8,1,3,5
356,voc_emotic_ava/VOC2012__2010_000921.jpg,8,9,1,2,7
357,voc_emotic_ava/VOC2012__2010_001743.jpg,9,9,1,0,7
358,voc_emotic_ava/VOC2012__2010_002293.jpg,11,8,2,0,7
